disco,Ukroił kromku chlieba i poszedł ja do chliewa
disco,Parszok la mnie śpiewa wiecier łamie drzewa
disco,"Szambo mnie zalewa, pomocy la mnie trzeba"
disco,Na polu twarda glieba i bulwa nie dajrzewa
disco,Usiadł ja na żoncy a ona cała w mący
disco,Ciasto la mnie piekła sabaka aż uciekła
disco,Ukroił kromku chlieba i poszedł ja do chliewa
disco,Parszok la mnie śpiewa wiecier łamie drzewa
disco,"Szambo mnie zalewa, pomocy la mnie trzeba"
disco,Na polu twarda glieba i bulwa nie dajrzewa
disco,Usiadł ja na żoncy a ona cała w mący
disco,Ciasto la mnie piekła sabaka aż uciekła
disco,Długo my w kolejce pa wódku stali a giees już zaczyniali
disco,A nam już chlać się chceee
disco,Wszystkie chamy z wioski przyjechały słomy z buta wystawały
disco,Sztachety wyjmowały
disco,ja przyjechał pksem wódku wypił pad gieesem
disco,Ja założył trampki nowe i bereta dał na głowe
disco,Przyniósł Stasio dwie butelki i zarzygał ja kafelki
disco,Przyszedł Miecio przyszedł Czesio wylizali my też trzecio
disco,"Wchodził ja na fure, nohe wjebał w dziure"
disco,Drzazgi pawłazili w gips nohu wsadzili
disco,"Trahtar ja naprawił, silnik nowy wstawił"
disco,"Rame mnie przegina, czyja to jest wina ?"
disco,"Wchodził ja na fure, nohe wjebał w dziure"
disco,Drzazgi pawłazili w gips nohu wsadzili
disco,"Trahtar ja naprawił, silnik nowy wstawił"
disco,"Rame mnie przegina, czyja to jest wina ?"
disco,"Już tańczą tu na he tej Sali, wszystkie na nas lampią się"
disco,I żiżej morde dre
disco,"Zara tobie dam butelką w głowe, co nie podoba tobie się"
disco,Wypierdalaj mnie
disco,ja przyjechał pksem wódku wypił pad gieesem
disco,Ja założył trampki nowe i bereta dał na głowe
disco,Przyniósł Stasio dwie butelki i zarzygał ja kafelki
disco,Przyszedł Miecio przyszedł Czesio wylizali my też trzecio
disco,I pojechał pksem morde pił ja pad gieesem
disco,I zabrudził trampki nowe beret gdzieś zostawił w rowie
disco,Stasio łamał tam sztachety i na głowach gasił pety
disco,Miecio z Czesiem tam zostali i dwie żonki wyruchali
disco,Biegał ja pa lesie w nowym Nika dresie
disco,"Wrócił ja da chaty, napił sia harbaty"
disco,"Fura filcy żonka, dobra samagonka"
disco,Rolik puścił bonka bulwu zżera stonka
disco,"Kabel gwoździk puszka,  jabłko gruszka śliwka"
disco,"Karmnik szafa kredens, duży fiat mercedes"
disco,"Bulwa jest w parniku, burak jest w kaszyku"
disco,Dampa Szamba studnia rychał da pałudnia
disco,Biegał ja pa lesie w nowym Nika dresie
disco,"Wrócił ja da chaty, napił sia harbaty"
disco,"Fura filcy żonka, dobra samagonka"
disco,Rolik puścił bonka bulwu zżera stonka
disco,"Kabel gwoździk puszka,  jabłko gruszka śliwka"
disco,"Karmnik szafa kredens, duży fiat mercedes"
disco,"Bulwa jest w parniku, burak jest w kaszyku"
disco,Dampa Szamba studnia rychał da pałudnia
disco,"U remizi tańczo chamy, każdy stolik zarychany"
disco,"Paschodzili sia barany, każdy jeden najebany"
disco,"Pad remizo razpierducha, już pół płota rozebrali"
disco,"Za remizo Zośke dupczo, a my karwa chlamy."
disco,"Wódko moja, szczęście moje"
disco,"Wleje ciebie, w hardło swoje"
disco,Choć na nohach ledwo stoje
disco,"Pełno szklanku, mam jak w banku je je"
disco,"W tym oto momencie dziękujemy wszyskim naszym fanom, że oni so z nami i nas wspierajo karwa. Prychodzcie na nasze koncerty i wpłacajcie hroszy dna nasze konta"
disco,"Nie ma takiej druhiej wioski, nawet bramu rozebrali"
disco,"Taka była dobra brama , tyko klamki się zostali"
disco,"Na sygnale Nyska wali, zara bedo wsich łapali"
disco,"Jak rozjebio towarzystwo, bendziem daliej chlali"
disco,"Wódko moja, szczęście moje"
disco,"Wleje ciebie, w hardło swoje"
disco,Choć na nohach ledwo stoje
disco,"Pełno szklanku, mam jak w banku je je"
disco,Minęła właśnie 19:60 i Żiżej Skwarka w tym momencie zaprasza na nowy utwór pod tytułem Bydlak
disco,Znowu cuda znowu dziwy  czy nam uwierzycie
disco,Zalał skurwiel mordu wrócił znów o świcie
disco,Szto my zrobim kiedy ksiądz ot przyjdzie pa kalendzi
disco,Da sieni go wjebiem cała chata smierdzi
disco,Hej szto zrobiłeś ryjem w gnój zaryłeś
disco,Kaszalu kaścielnu poplamiłeś
disco,Sołtysowo noc się ciągał sypał jo do rana
disco,Ona stara rura jak studnia zjebana
disco,Tam w stodole gdzieś na stroni bimbrem go spoiła
disco,I za rozrzutnikiem jak byka doiła
disco,Hej szto ty zrobił ryjem u gnój zarył
disco,Kapotu nawiutku upierdolił
disco,Dał jej potem kopa w dupę mordę darł i śpiewał
disco,I nie wiedział kiedy do gnoju się wjebał
